p_val,avg_log2FC,pct.1,pct.2,p_val_adj,cluster,gene
0,5.90256657424244,0.995,0.072,0,4,Igkc
0,4.56428010847138,0.998,0.017,0,4,Cd79a
0,3.67669316593424,0.983,0.152,0,4,Mef2c
0,3.54014134026114,0.943,0.139,0,4,Ighm
0,3.03494175986631,0.714,0.01,0,4,Iglc2
0,2.96953833371081,0.884,0.021,0,4,Ighd
0,2.73199481786444,0.991,0.213,0,4,H2-Aa
0,2.69895909082386,0.991,0.199,0,4,H2-Ab1
0,2.64627219889772,0.991,0.161,0,4,H2-Eb1
0,2.50736431953308,0.787,0.008,0,4,Ms4a1
0,2.44112684199085,0.773,0.08,0,4,Stap1
0,2.39772229086012,0.806,0.056,0,4,H2-DMb2
0,2.33909181782869,0.712,0.01,0,4,Fcmr
0,2.00367408272969,0.605,0.01,0,4,Mzb1
0,1.97844109225704,0.648,0.006,0,4,Pax5
0,1.97313969017277,0.504,0.014,0,4,Cd79b
0,1.93350861436556,0.667,0.011,0,4,Bank1
0,1.90466073614272,0.73,0.094,0,4,Napsa
0,1.85465555902943,0.596,0.013,0,4,Tnfrsf13c
0,1.84718643932709,0.541,0.012,0,4,Fcrla
0,1.62378700688836,0.565,0.021,0,4,H2-Ob
0,1.57699159247563,0.52,0.034,0,4,Cd72
0,1.55122371190425,0.499,0.015,0,4,Cxcr5
0,1.51946753242921,0.411,0.003,0,4,Fcer2a
0,1.45455134563805,0.414,0.012,0,4,Iglc3
2.08443715362743e-276,3.09238281348694,0.993,0.307,4.17783738701545e-272,4,Cd74
1.43061377208256e-275,1.99937371253849,0.792,0.129,2.86737918338508e-271,4,Cd83
2.6106411254693e-275,2.53458013773181,0.983,0.313,5.23250800777811e-271,4,Ebf1
2.18543045958729e-258,1.71915326516432,0.761,0.127,4.3802582701508e-254,4,H2-DMa
2.60661595788899e-251,2.05409865736765,0.851,0.213,5.2244403643969e-247,4,Cd37
9.85079896233606e-234,1.44570239062627,0.475,0.046,1.97439563602102e-229,4,H2-Oa
3.24923503478199e-203,1.53475985894072,1,0.984,6.51244178021354e-199,4,H3f3a
3.92252473931266e-203,2.49383759247055,0.962,0.506,7.86191633500436e-199,4,Rel
3.96313516030829e-199,1.43911714561368,0.572,0.087,7.94331180180591e-195,4,Syk
8.25432984310195e-194,2.6553574520351,0.827,0.322,1.65441533045292e-189,4,Dmxl1
